"","mean.diff","mean.1","mean.2","t","df","p.val","p.val.adj","description","cell.up","ligand.up","receptor.in.path","ligand.in.path"
"Cell.fate.determination",0.131071957609843,0.110369688320638,-0.0207022692892057,10.6722359341527,390.476841361954,1.67172170486955e-23,2.11923536588998e-23,"Cell fate determination","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cell.activation",-0.105592014045143,-0.227160999370727,-0.121568985325584,-29.0763789043495,431.398502114614,1.05613366768152e-103,3.91087091227933e-103,"Cell activation","6;6;8;10;11;15;6","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1",NA
"Cytokine.production",-0.0681258331017169,-0.189804487760719,-0.121678654659002,-16.6052351120334,456.068652810416,8.96646171881684e-49,1.40412794801822e-48,"Cytokine production","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Regulation.of.cytokine.production",-0.07383323577627,-0.197911727061127,-0.124078491284857,-17.7324002936354,453.812440844154,7.74680216427015e-54,1.28245380366489e-53,"Regulation of cytokine production","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Negative.regulation.of.cytokine.production",-0.0228598157798044,-0.128984497080001,-0.106124681300196,-4.425978916312,441.835754646279,1.21100137259081e-05,1.32832555902221e-05,"Negative regulation of cytokine production","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Positive.regulation.of.cytokine.production",-0.111852242487305,-0.240106849466631,-0.128254606979326,-25.160879542763,440.803938163446,2.90058379550813e-87,8.35402058063014e-87,"Positive regulation of cytokine production","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Kidney.development",0.223966709930717,0.115661893437325,-0.108304816493392,33.7732439130887,371.011859161632,3.21859270494787e-115,1.50967324493983e-114,"Kidney development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Liver.development",-0.0179290340846513,-0.104883371675436,-0.0869543375907851,-2.45554632172213,415.627626927372,0.0144755697659004,0.01505642684204,"Liver development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Regulation.of.protein.phosphorylation",0.0870278909147733,-0.0357546107229873,-0.122782501637761,21.3193945463529,384.415833569239,3.95544805558814e-67,7.83926827918373e-67,"Regulation of protein phosphorylation","10;15","Ramp2;Ramp2","Pmepa1;Pmepa1",NA
"Negative.regulation.of.protein.phosphorylation",0.160508639903361,0.00250347191655541,-0.158005167986806,23.3768805374114,379.901748150367,1.55680553230395e-75,3.61663549367782e-75,"Negative regulation of protein phosphorylation","10;15","Ramp2;Ramp2","Pmepa1;Pmepa1",NA
"Vasculature.development",0.235416160741997,0.0795537290717077,-0.155862431670289,42.6506480756133,432.623714454503,4.61110380270721e-157,1.13548431141665e-155,"Vasculature development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Rhob"
"Columnar.cuboidal.epithelial.cell.differentiation",0.137145811391879,0.082471581304756,-0.0546742300871231,11.43568590713,398.450773968417,2.20815756310479e-26,2.85437690243861e-26,"Columnar/cuboidal epithelial cell differentiation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Response.to.molecule.of.bacterial.origin",-0.12307148108514,-0.245288633275665,-0.122217152190525,-20.466811787156,413.407554763902,8.39825109767907e-65,1.62520183324438e-64,"Response to molecule of bacterial origin","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Gbp6"
"Adaptive.immune.response",-0.214464135265297,-0.371291262842671,-0.156827127577374,-46.5353794469284,660.175922513939,1.28586193664292e-210,1.26657400759327e-208,"Adaptive immune response","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Immune.effector.process",-0.136996821773056,-0.203757646403343,-0.0667608246302871,-32.5509028766228,472.628030355546,8.64177638429149e-123,4.65144794455034e-122,"Immune effector process","6;9;10;14;15;6","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Dkk3","C2;C2;C2;C2;C2;Lgals1",NA
"Activation.of.immune.response",-0.113489500434354,-0.296038191384702,-0.182548690950348,-21.7683588171823,620.991709773221,1.66084546802779e-78,4.02939109854033e-78,"Activation of immune response","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Cell.activation.involved.in.immune.response",-0.195507030144663,-0.24700344288971,-0.0514964127450469,-33.9949413145954,428.519354029385,9.77549691544226e-124,5.40947441669136e-123,"Cell activation involved in immune response","6","Dkk3","Lgals1",NA
"Myeloid.leukocyte.activation",-0.176960148591153,-0.270073334501136,-0.0931131859099826,-32.9851674987517,462.281564728562,1.50994046283782e-123,8.30889025639808e-123,"Myeloid leukocyte activation","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Lymphocyte.activation.involved.in.immune.response",-0.201205176536474,-0.219852385429344,-0.0186472088928703,-29.1682441654925,433.116170227174,2.96810188770813e-104,1.12445398438173e-103,"Lymphocyte activation involved in immune response","6","Dkk3","Lgals1",NA
"B.cell.activation.involved.in.immune.response",-0.189257208613059,0.00972613664833246,0.198983345261392,-18.7798587183826,390.543137852191,1.57559689821946e-56,2.69906599086289e-56,"B cell activation involved in immune response","6","Dkk3","Lgals1",NA
"Mature.B.cell.differentiation",-0.234381662821918,-0.248438814624814,-0.0140571518028968,-21.6615352070862,454.427557611197,5.34059314514578e-72,1.17421523392156e-71,"Mature B cell differentiation","6","Dkk3","Lgals1",NA
"Leukocyte.activation.involved.in.immune.response",-0.196006490751737,-0.24904326836536,-0.0530367776136223,-34.2935649337267,433.646012656685,1.40206030450212e-125,8.22041309484871e-125,"Leukocyte activation involved in immune response","6","Dkk3","Lgals1",NA
"Immune.system.process",-0.141823199936385,-0.253177199846169,-0.111353999909784,-36.0468036810848,401.64225672687,5.88100995802578e-128,3.76155507055545e-127,"Immune system process","6;10;15;6;9;10;14;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Ccl8;Gbp6;Npy"
"Inflammatory.response.to.antigenic.stimulus",-0.104345888378373,-0.279236015958937,-0.174890127580564,-15.1962380554329,464.44416662833,1.262792627012e-42,1.89035066505596e-42,"Inflammatory response to antigenic stimulus","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Acute.inflammatory.response.to.antigenic.stimulus",-0.0495496875968927,-0.213341319101104,-0.163791631504211,-5.56743133903638,446.133853316598,4.47108553072936e-08,5.03316485459247e-08,"Acute inflammatory response to antigenic stimulus","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Leukocyte.mediated.immunity",-0.14710857598386,-0.251252975187051,-0.10414439920319,-28.9543038467199,455.197278495935,2.69985939371906e-105,1.05113102877995e-104,"Leukocyte mediated immunity","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Lymphocyte.mediated.immunity",-0.147675866916072,-0.254237579598137,-0.106561712682065,-27.2550480820886,496.330771299715,1.13133346700537e-100,3.99413428315517e-100,"Lymphocyte mediated immunity","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Humoral.immune.response.mediated.by.circulating.immunoglobulin",0.167353449591615,-0.00523041923112262,-0.172583868822737,18.8409892085519,453.647585047035,6.47124469301362e-59,1.13621675982503e-58,"Humoral immune response mediated by circulating immunoglobulin","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Adaptive.immune.response.based.on.somatic.recombination.of.immune.receptors.built.from.immunoglobulin.superfamily.domains",-0.124695263150141,-0.235577163258822,-0.110881900108681,-25.0611957761646,522.153994695367,1.34581974753108e-91,4.09145818308059e-91,"Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Immune.system.development",-0.0675473105315738,-0.199558079450941,-0.132010768919367,-20.201491512803,479.013299709865,4.26121609598877e-66,8.37784002903979e-66,"Immune system development","6","Dkk3","Lgals1",NA
"Leukocyte.differentiation",-0.10383182472247,-0.260343095221034,-0.156511270498564,-24.914340997738,508.679559529932,3.74291921975086e-90,1.10382497947742e-89,"Leukocyte differentiation","6","Dkk3","Lgals1",NA
"Acute.inflammatory.response",-0.091960087079841,-0.206131437567483,-0.114171350487642,-13.0235497514475,413.979502192675,9.78282722118706e-33,1.34582190123872e-32,"Acute inflammatory response","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.acute.inflammatory.response",-0.201979065167217,-0.306283089087681,-0.104304023920465,-21.8233336336817,410.287054482853,1.21752658189396e-70,2.60709496340336e-70,"Regulation of acute inflammatory response","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Positive.regulation.of.acute.inflammatory.response",-0.13886851295558,-0.313682294965843,-0.174813782010263,-12.2357149091603,412.049739282339,1.40258227445921e-29,1.87965107529568e-29,"Positive regulation of acute inflammatory response","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.immune.system.process",-0.0803919101423182,-0.199175962779682,-0.118784052637364,-24.2525942814886,447.981721655942,1.34083423740347e-83,3.58891772783265e-83,"Regulation of immune system process","6;10;15;6;9;10;14;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1",NA
"Negative.regulation.of.immune.system.process",-0.0406248340682474,-0.165932200661669,-0.125307366593421,-10.1036398137228,423.353496487225,1.20500508378344e-21,1.49487406489507e-21,"Negative regulation of immune system process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Positive.regulation.of.immune.system.process",-0.119395730629908,-0.237883002287994,-0.118487271658086,-30.2494767867621,456.226785393556,4.31876883593903e-111,1.8740032173568e-110,"Positive regulation of immune system process","6;9;10;14;15;6;6;8;10;11;15;6","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1",NA
"Regulation.of.leukocyte.activation",-0.173079722448821,-0.280876882696715,-0.107797160247894,-44.8177624245238,468.919052725666,1.30293312105254e-171,6.75467960124604e-170,"Regulation of leukocyte activation","6;6;8;10;11;15;6","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1",NA
"Negative.regulation.of.leukocyte.activation",-0.158771396521894,-0.290373274584199,-0.131601878062306,-30.1556131125113,422.615134604446,2.10587929955939e-107,8.50119307404097e-107,"Negative regulation of leukocyte activation","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Positive.regulation.of.leukocyte.activation",-0.182309731982478,-0.293876073806945,-0.111566341824467,-42.0095352769368,536.305097432391,9.57831622732568e-172,5.24146749106433e-170,"Positive regulation of leukocyte activation","6","Dkk3","Lgals1",NA
"Peptide.secretion",-0.13271953650416,-0.14291639673263,-0.0101968602284695,-18.2101568871955,413.441845430409,7.84406664286146e-55,1.31178364061435e-54,"Peptide secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.peptide.secretion",-0.13417188123884,-0.136026748809165,-0.00185486757032532,-16.3356028151369,396.434790703802,3.09919588634214e-46,4.74022973299225e-46,"Regulation of peptide secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.response.to.biotic.stimulus",-0.155931198968555,-0.299580954803597,-0.143649755835042,-27.7289299815356,453.732820712873,1.02076027537158e-99,3.49114191403127e-99,"Regulation of response to biotic stimulus","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Regulation.of.inflammatory.response.to.antigenic.stimulus",-0.0434480398367526,-0.204270260068479,-0.160822220231726,-4.95335033989309,445.705457778401,1.03737378697904e-06,1.149396153177e-06,"Regulation of inflammatory response to antigenic stimulus","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.humoral.immune.response",-0.0135095210846218,-0.0919935884817179,-0.0784840673970961,-1.56088015257924,476.721764622509,0.119215602487942,0.122447725183132,"Regulation of humoral immune response","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Response.to.ischemia",0.0890040762213225,-0.12874679076431,-0.217750866985632,7.71376865622902,393.200633975095,1.01453258042079e-13,1.18966022823152e-13,"Response to ischemia","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Developmental.process.involved.in.reproduction",0.225223225385687,0.183842681424773,-0.0413805439609144,41.1646900984086,369.450441087818,4.3958177140769e-140,4.17812472591033e-139,"Developmental process involved in reproduction","6;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Prdx4"
"Heart.morphogenesis",0.27875766492745,0.172303598008305,-0.106454066919145,29.2742952739782,387.80266233424,3.01953087736224e-100,1.04726687119782e-99,"Heart morphogenesis","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"System.process",0.081938590055771,0.00653024893875894,-0.0754083411170121,23.5753484718904,416.131314985645,1.14936316957473e-78,2.80228396542354e-78,"System process","6;10;15;1;10;15;2;3;4;6;6;11;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Kcnk2;Npy"
"Muscle.system.process",0.19501568448006,0.108102597184094,-0.0869130872959661,27.906467751424,376.734234151896,1.031698969783e-93,3.21589710517803e-93,"Muscle system process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Circulatory.system.process",0.147210610250093,0.0275832974110702,-0.119627312839023,26.0208006902287,427.551019161464,3.69100241364866e-90,1.09178299622941e-89,"Circulatory system process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Npy"
"Outflow.tract.septum.morphogenesis",0.281900819710515,0.0090199589603333,-0.272880860750182,17.0119776709801,394.750502995994,4.45651701587776e-49,7.00106740133906e-49,"Outflow tract septum morphogenesis","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Outflow.tract.morphogenesis",0.275446231232797,0.108962060539676,-0.166484170693121,23.9044267190434,384.829068478014,4.54846477061827e-78,1.0954126648066e-77,"Outflow tract morphogenesis","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cardiac.chamber.development",0.249563597673122,0.16638290960035,-0.0831806880727717,24.6270422531527,381.495667032829,7.7164233083299e-81,1.94889152787306e-80,"Cardiac chamber development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Kcnk2"
"Cardiac.chamber.morphogenesis",0.246805334622623,0.163013725503921,-0.0837916091187025,23.9963207915743,387.998998424354,1.1383214881616e-78,2.7822497911642e-78,"Cardiac chamber morphogenesis","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cardiac.septum.development",0.271874666767329,0.15518900264992,-0.116685664117409,23.6259011037782,376.944917774175,2.26378073998454e-76,5.32177572526199e-76,"Cardiac septum development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cardiac.muscle.hypertrophy",0.163252319327218,-0.016882704104649,-0.180135023431867,12.6328362314405,373.834665198647,1.0377046938275e-30,1.40984706678632e-30,"Cardiac muscle hypertrophy","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Alcohol.metabolic.process",0.179340160718023,0.0315974005141179,-0.147742760203905,21.4968433420568,403.335196342036,7.3468297229581e-69,1.52994234188451e-68,"Alcohol metabolic process","6","Dact1","Pcbd1","Dkk3"
"Organic.acid.metabolic.process",0.0746172300291982,-0.0622345433040269,-0.136851773333225,16.1052489052052,444.388248336627,2.68030659486866e-46,4.10591290193722e-46,"Organic acid metabolic process","6;6;6;8;10;11;15","Dact1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Pcbd1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Nucleobase.containing.compound.metabolic.process",0.0846238227870432,-9.17449523705165e-05,-0.0847155677394137,21.4118147351621,393.90737063567,5.1498050946636e-68,1.05458586657872e-67,"Nucleobase-containing compound metabolic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Transcription..DNA.templated",0.0924441200079067,-0.0158031002268451,-0.108247220234752,21.4018535423363,388.74924296022,1.04762987080318e-67,2.09738907061207e-67,"Transcription, DNA-templated","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1"
"Regulation.of.transcription..DNA.templated",0.087590764924657,-0.0183643000870337,-0.105955065011691,20.6684089163075,390.003032926497,1.26226259326387e-64,2.42364260110118e-64,"Regulation of transcription, DNA-templated","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1"
"Regulation.of.transcription.by.RNA.polymerase.II",0.110660306177003,-0.0193024689014425,-0.129962775078445,20.8750531458054,383.404606963172,3.45302834564806e-65,6.69534039461288e-65,"Regulation of transcription by RNA polymerase II","6;10;15;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Dact1"
"Transcription.by.RNA.polymerase.II",0.110660306177003,-0.0193024689014425,-0.129962775078445,20.8750531458054,383.404606963172,3.45302834564806e-65,6.69534039461288e-65,"Transcription by RNA polymerase II","6;10;15;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Dact1"
"Cellular.protein.modification.process",0.12008458236283,0.00848429304206511,-0.111600289320765,30.3459172991451,378.181440721316,2.22890972472465e-103,8.13139288464363e-103,"Cellular protein modification process","1;10;15;10;15","Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2","Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1","Prdx4"
"Protein.phosphorylation",0.0743348201705626,-0.0424657163193157,-0.116800536489878,18.7370833347701,385.891312280019,3.57662780555637e-56,6.09511831915748e-56,"Protein phosphorylation","10;15","Ramp2;Ramp2","Pmepa1;Pmepa1",NA
